Group_id,Group_Title,NFRCode,SourceName,ActivityName
1,All,,,
2,Ecodesign Stove - RtB,,Domestic Closed Stove - EcoDesign,Wood - Dry; Wood - Seasoned; Wood Briquettes
3,Advanced Stove - RtB,,Domestic Closed Stove - Advanced,Wood - Dry; Wood - Seasoned; Wood Briquettes
4,Upgraded Stove - RtB,,Domestic Closed Stove - Upgraded,Wood - Dry; Wood - Seasoned; Wood Briquettes
5,Basic Stove - RtB,,Domestic Closed Stove - Basic,Wood - Dry; Wood - Seasoned; Wood Briquettes
6,Fireplace - RtB,,Domestic Fireplace - Standard,Wood - Dry; Wood - Seasoned; Wood Briquettes
7,Fireplace & Stoves excluding Ecodesign - RtB,,Domestic Closed Stove - Advanced; Domestic Closed Stove - Upgraded; Domestic Closed Stove - Basic; Domestic Fireplace - Standard,Wood - Dry; Wood - Seasoned; Wood Briquettes
8,Fireplace & All Stoves - RtB,,Domestic Closed Stove - EcoDesign; Domestic Closed Stove - Advanced; Domestic Closed Stove - Upgraded; Domestic Closed Stove - Basic; Domestic Fireplace - Standard,Wood - Dry; Wood - Seasoned; Wood Briquettes
9,Ecodesign Stove - Wood excluding RtB,,Domestic Closed Stove - EcoDesign,Wood - Wet
10,Advanced Stove - Wood excluding RtB,,Domestic Closed Stove - Advanced,Wood - Wet
11,Upgraded Stove - Wood excluding RtB,,Domestic Closed Stove - Upgraded,Wood - Wet
12,Basic Stove - Wood excluding RtB,,Domestic Closed Stove - Basic,Wood - Wet
13,Fireplace - Wood excluding RtB,,Domestic Fireplace - Standard,Wood - Wet
14,Fireplace & Stoves excluding Ecodesign - Wood excluding RtB,,Domestic Closed Stove - Advanced; Domestic Closed Stove - Upgraded; Domestic Closed Stove - Basic; Domestic Fireplace - Standard,Wood - Wet
15,Fireplace & All Stoves - Wood excluding RtB,,Domestic Closed Stove - EcoDesign; Domestic Closed Stove - Advanced; Domestic Closed Stove - Upgraded; Domestic Closed Stove - Basic; Domestic Fireplace - Standard,Wood - Wet
16,Ecodesign Stove - All wood,,Domestic Closed Stove - EcoDesign,Wood - Wet; Wood - Dry; Wood - Seasoned; Wood Briquettes
17,Advanced Stove - All wood,,Domestic Closed Stove - Advanced,Wood - Wet; Wood - Dry; Wood - Seasoned; Wood Briquettes
18,Upgraded Stove - All wood,,Domestic Closed Stove - Upgraded,Wood - Wet; Wood - Dry; Wood - Seasoned; Wood Briquettes
